Raw_Label,Logical_Name,Disposition_Color,Disposition_Interpretation,Layer,Domain,System_Type,Dependencies_Upstream,Dependencies_Downstream,Notes
Adv Pricing,Oracle EBS — Advanced Pricing,Black,Existing,Application,Pricing,ERP Module,Price Lists,Order Mgmt,B2B pricing + promos.
Location,Oracle EBS — Location,Black,Existing,Application,Enterprise Data,ERP Module,RMS,WMS; 3PL; Nexus,Stores + warehouse master data.
Inventory Mgmt,Oracle EBS — Inventory Mgmt,Black,Existing,Application,Inventory,ERP Module,Order Mgmt; Purchasing,HighJump; 3PL,WH inventory + transfers.
Genysis,Genysis — EBS Satellite,Black,Existing,Application,Order Management,Custom/Tool,Oracle EBS,,EBS satellite application.
DOE,Deckers Order Entry — DOE,Black,Existing,Application,Order Management,Custom/Tool,Oracle EBS,,EBS satellite application.
SOMT,Sales Order Mod Tool — SOMT,Black,Existing,Application,Order Management,Custom/Tool,Oracle EBS,,EBS satellite application.
WebADI,WebADI — Oracle XLS Loader,Black,Existing,Application,Order Management,Custom/Tool,Oracle EBS,,EBS satellite application.
PMT,PMT — Product Move Tool,Black,Existing,Application,Order Management,Custom/Tool,Oracle EBS,,EBS satellite application.
Flex PLM,Flex PLM — Product Design & Specs,Black,Existing,Application,Product,SaaS,,PIM (Salsify); Vendor EDI,"Design, specs, pricing."
PIM (Salsify),PIM — Product Information Management,Black,Existing,Application,Product,SaaS,Flex PLM,SFCC; Oracle EBS; Vendors,Product data enrichment.
HiJump,HighJump WMS — US Sites,Black,Existing,Warehouse,Warehouse Management,WMS,Oracle EBS; Sourcing; PMT,3PL; Carriers,Multiple WMS instances.
3PL,Third-Party Logistics Providers,Black,Existing,Warehouse,Fulfillment,Partner,HighJump; EBS,Carriers,Multiple external logistics partners.
IRIS,IRIS — WH Transfers,Black,Existing,Integration,Logistics,Integration Tool,EBS - Inventory Mgmt,HighJump,Warehouse-to-warehouse transfers.
Nexus,Nexus — Trade Management,Black,Existing,Application,Trade / Tax / Logistics,Application,Oracle EBS,Brokers,Trade mgmt & brokers.
Redshift/Tableau,Redshift + Tableau — Reporting Stack,Black,Existing,Analytics,Reporting,BI,EBS; RMS; POS,,Reporting warehouse.
Deckers B2B,Deckers B2B Order Capture,Black,Existing,Application,B2B Commerce,Portal,B2B Customers,Oracle EBS - Order Mgmt,"B2B order creation, review, approval."
Merkle,Merkle — Partner Integration,Black,Existing,Partner,Loyalty,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
COVEO,COVEO — Partner Integration,Black,Existing,Partner,Search,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Feedonomics,Feedonomics — Partner Integration,Black,Existing,Partner,Feeds,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Cloudinary,Cloudinary — Partner Integration,Black,Existing,Partner,Content Delivery,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Rudderstack,Rudderstack — Partner Integration,Black,Existing,Partner,Event Routing,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Cordial,Cordial — Partner Integration,Black,Existing,Partner,Email,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Chase,Chase — Partner Integration,Black,Existing,Partner,Payments,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Forter,Forter — Partner Integration,Black,Existing,Partner,Fraud,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Annex,Annex — Partner Integration,Black,Existing,Partner,Loyalty,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
GTM,GTM — Partner Integration,Black,Existing,Partner,Telemetry,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Tealium,Tealium — Partner Integration,Black,Existing,Partner,Tagging,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
CoreMedia,CoreMedia — Partner Integration,Black,Existing,Partner,Content,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Builder.io,Builder.io — Partner Integration,Black,Existing,Partner,Content,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
DynamicYield,DynamicYield — Partner Integration,Black,Existing,Partner,Personalization,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Adyen,Adyen — Partner Integration,Black,Existing,Partner,Payments,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
Avalara,Avalara — Partner Integration,Black,Existing,Partner,Tax,SaaS Partner,SFCC,OMS; EBS,External DTC partner.
One Source,One Source — Partner Integration,Black,Existing,Partner,Tax,SaaS Partner,Oracle EBS,,External B2B partner.
Vertex,Vertex — Partner Integration,Black,Existing,Partner,Tax,SaaS Partner,Oracle EBS,,External B2B partner.
SPS Commerce,SPS Commerce — Partner Integration,Black,Existing,Partner,EDI,SaaS Partner,Oracle EBS,,External B2B partner.
BlackLine,BlackLine — Partner Integration,Black,Existing,Partner,Finance,SaaS Partner,Oracle EBS,,External B2B partner.
V Trader,V Trader — Partner Integration,Black,Existing,Partner,Finance,SaaS Partner,Oracle EBS,,External B2B partner.
